ID	Quadrant	Teilquadrant	Ortsnummer	Ortsbuchstaben	Ortsname	Kreis	Land	I	II	III	IV	comment	RES_1st_run	Ortsname_old	Stadt.oder.Gemeinde.oder.Landkreis	x	y	res	prev	x_new	y_new	cor
407	125	21	25	a	Allendorf	Gießen	Hessen	j	j	j	j	NA	not detected	Allendorf	Lumda	99999	99999	not detected	NANA	487490.75	5614008.4	f
1100	151	10	11	co	Groß-Zimmern	Dieburg	Hessen	j	j	j	j	NA	not detected	Groß-Zimmern	Darmstadt-Dieburg	99999	99999	not detected	NANA	487528.14	5524743.8	f
1067	151	3	10	ar	Ober-Roden	Dieburg	Hessen	j	j	j	j	NA	not detected	Ober Roden		487674.709877014	5536154.3321523	detected		487674.7099	5536154332	
815	139	3	25	ar	Wohnbach	Friedberg	Hessen	j	j	j	j	NA	detected			487754.943418045	5586367.09485098	detected		487754.9434	5586367095	
1279	111	15	5	a	Flechtdorf	des Eisenbergs	Hessen-Nassau	NA	j	j	j	NA	not detected	Flechtdorf	Diemelsee	99999	99999	not detected	NANA	487833.28	5686158.08	f
1218	151	28	16	cu	Kocherbach	Heppenheim	Hessen	j	j	NA	j	NA	detected			487881.914483227	5494127.45079174	detected		487881.9145	5494127451	
1208	151	27	10	dl	Hammelbach	Heppenheim	Hessen	j	NA	NA	NA	NA	detected			487927.089924707	5498196.45324543	detected		487927.0899	5498196453	
1137	151	16	1	al	Reinheim	Dieburg	Hessen	j	j	j	j	NA	detected			488040.28845018	5519965.22959524	detected		488040.2885	5519965.23	
817	139	4	6	al	Bettenhausen	Gießen	Hessen	j	j	j	j	NA	detected			488107.93683579	5591714.70816865	detected		488107.9368	5591714708	
812	139	3	20	dl	Obbornhofen	Gießen	Hessen	j	j	j	j	NA	detected			488148.463264272	5587644.92103122	detected		488148.4633	5587644921	
906	139	16	21	cl	Kaichen	Friedberg	Hessen	j	j	j	j	NA	detected			488394.310020431	5566940.4776642	detected		488394.31	5566940478	
864	139	10	21	c	Dorn-Assenheim	Friedberg	Hessen	j	j	j	j	NA	detected			488727.819455266	5576268.65950434	detected		488727.8195	5576268.66	
860	139	10	16	a	Weckesheim	Friedberg	Hessen	j	NA	NA	NA	NA	detected			488918.336629111	5578892.38213189	detected		488918.3366	5578892382	
447	125	28	1	au	Allertshausen	Gießen	Hessen	j	j	NA	NA	NA	detected			999	999	not an unique name	prev. not unique	489248.9149	5611794233	found
1001	139	34	11	bl	Rembrücken	Offenbach	Hessen	j	j	j	j	NA	detected			489468.253229014	5543966.82966565	detected		489468.2532	5543966.83	
1220	151	28	21	b	Affolterbach	Heppenheim	Hessen	j	NA	NA	NA	NA	detected			489492.850324129	5493879.50894991	detected		489492.8503	5493879509	
452	125	28	11	cd	Bersrod	Gießen	Hessen	j	j	j	j	NA	detected			489536.712287172	5607245.68450138	detected		489536.7123	5607245685	
974	139	28	21	bl	Lämmerspiel	Offenbach	Hessen	NA	j	j	j	NA	not detected	Lämmerspiel	Mühlheim am Main	99999	99999	not detected	NANA	489556.8	5549432.02	f
91	111	34	16	ar	Willersdorf	Frankenberg	Hessen-Nassau	NA	j	j	j	NA	detected			489585.798668611	5652804.5280179	detected		489585.7987	5652804528	
1073	151	4	21	b	Münster	Dieburg	Hessen	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	489591.5375	5530001797	found
948	139	22	21	du	Wachenbuchen	Hanau	Hessen-Nassau	j	j	j	j	NA	detected			489644.46830139	5557286.68884077	detected		489644.4683	5557286689	
1180	151	22	1	b	Fränkisch-Crumbach	Dieburg	Hessen	j	j	j	NA	NA	not detected	Fränkisch Crumbach		489704.879819714	5510378.00529429	detected		489704.8798	5510378005	
456	125	28	21	bl	Lindenstruth	Gießen	Hessen	j	j	j	j	NA	detected			489722.455577466	5604554.36039258	detected		489722.4556	5604554.36	
1217	151	28	11	b	Grasellenbach	Heppenheim	Hessen	j	j	j	j	NA	not detected	Gras-Ellenbach		489766.550860428	5497236.54556794	detected		489766.5509	5497236546	
11	111	4	11	cr	Obermarsberg	Brilon	Westfalen	j	j	j	j	NA	detected			489791.515172117	5699578.48489074	detected		489791.5152	5699578485	
1185	151	22	16	b	Unter-Ostern	Erbach	Hessen	j	j	NA	j	NA	detected			489939.236157212	5504674.05558946	detected		489939.2362	5504674056	
898	139	16	1	d	Nieder-Florstadt	Friedberg	Hessen	NA	j	j	j	NA	not detected	Nieder Florstadt		489948.190519475	5574353.71318148	detected		489948.1905	5574353713	
90	111	34	1	do	Geismar	Frankenberg	Hessen-Nassau	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		490114.5736	5657930043	found
