"","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","x","y","res"
"793","139",1,12,"d","Möttau","Oberlahnkreis","Hessen-Nassau",NA,NA,"j",NA,NA,457170.844257566,5589150.92582149,"detected"
"794","139",1,17,"cu","Weilmünster","Oberlahnkreis","Hessen-Nassau","j","j","j","j",NA,455604.067274784,5586884.28606525,"detected"
"795","139",1,19,"br","Kröffelbach","Wetzlar","Hessen-Nassau",NA,NA,"j","j",NA,462638.507642418,5588297.61955154,"detected"
"796","139",1,20,"cd","Brandoberndorf","Wetzlar","Hessen-Nassau","j",NA,NA,NA,NA,464290.854200325,5586940.69022715,"detected"
"797","139",2,1,"cl","Niederwetz","Wetzlar","Hessen-Nassau","j","j",NA,NA,NA,464403.857236671,5593155.87908793,"detected"
"799","139",2,9,"ac","Niederkleen","Wetzlar","Hessen-Nassau","j","j",NA,NA,NA,472766.915763778,5591660.45523783,"detected"
"804","139",3,2,"cd","Holzheim","Gießen","Hessen","j","j","j","j",NA,480065.642612911,5592795.34520861,"detected"
"805","139",3,5,"al","Birklar","Gießen","Hessen","j","j","j","j",NA,486749.880084153,5593419.2232068,"detected"
"807","139",3,9,"bo","Muschenheim","Gießen","Hessen","j",NA,NA,NA,NA,485562.602864941,5592432.7110274,"detected"
"808","139",3,12,"bu","Gambach","Friedberg","Hessen","j","j","j","j",NA,480551.276101364,5589824.62484697,"detected"
"811","139",3,16,"cu","Butzbach","Friedberg","Hessen","j","j","j","j",NA,476663.786309567,5587138.3556568,"detected"
"812","139",3,20,"dl","Obbornhofen","Gießen","Hessen","j","j","j","j",NA,488148.463264272,5587644.92103122,"detected"
"813","139",3,22,"br","Rockenberg","Friedberg","Hessen","j","j","j","j",NA,481220.623855504,5586430.77211525,"detected"
"814","139",3,23,"cu","Oppershofen","Friedberg","Hessen","j","j","j","j",NA,481457.076952376,5584995.53538458,"detected"
"815","139",3,25,"ar","Wohnbach","Friedberg","Hessen","j","j","j","j",NA,487754.943418045,5586367.09485098,"detected"
"816","139",4,1,"ad","Langsdorf","Gießen","Hessen","j","j","j","j",NA,489679.092037136,5593268.11666937,"detected"
"817","139",4,6,"al","Bettenhausen","Gießen","Hessen","j","j","j","j",NA,488107.93683579,5591714.70816865,"detected"
"818","139",4,7,"bd","Hungen","Gießen","Hessen","j","j","j","j",NA,492528.260640677,5591584.27450931,"detected"
"820","139",4,12,"do","Inheiden","Gießen","Hessen","j","j","j","j",NA,492397.73327558,5589638.57036705,"detected"
"822","139",4,21,"bu","Berstadt","Büdingen","Hessen","j","j","j","j",NA,490304.240325439,5586050.45673555,"detected"
"824","139",4,24,"br","Borsdorf","Büdingen","Hessen","j","j","j","j",NA,498217.289135389,5586553.34230387,"detected"
"826","139",5,9,"du","Wingershausen","Schotten","Hessen","j","j","j","j",NA,509488.809966932,5590531.17746415,"detected"
"827","139",5,11,"a","Ulfa","Schotten","Hessen","j","j","j","j",NA,500546.517549242,5590122.37048591,"detected"
"832","139",6,8,"a","Sichenhausen","Schotten","Hessen","j","j","j","j",NA,517206.226875706,5591840.57301799,"detected"
"833","139",6,9,"cl","Hartmannshain","Schotten","Hessen","j",NA,NA,NA,NA,519586.099723497,5591059.3957991,"detected"
"834","139",6,14,"d","Völzberg","Gelnhausen","Hessen-Nassau",NA,NA,"j","j",NA,521333.17330828,5588975.71076016,"detected"
"835","139",7,1,"do","Rohnstadt","Oberlahnkreis","Hessen-Nassau","j","j",NA,NA,NA,454549.571424859,5584024.31112015,"detected"
"836","139",7,5,"ac","Hasselborn","Wetzlar","Hessen-Nassau","j","j","j","j",NA,463717.038961298,5584053.47913878,"detected"
"837","139",7,14,"ac","Naunstadt","Usingen","Hessen-Nassau","j","j","j","j",NA,460940.935894033,5580537.20154953,"detected"
"838","139",7,18,"ac","Gemünden","Usingen","Hessen-Nassau","j","j","j","j",NA,457726.397109016,5578716.03586055,"detected"
"840","139",8,2,"cd","Bodenrod","Friedberg","Hessen","j","j","j","j",NA,468331.487336646,5583289.91310609,"detected"
"841","139",8,12,"br","Maibach","Friedberg","Hessen","j","j","j","j",NA,469589.428661093,5580813.99160294,"detected"
"842","139",8,14,"dr","Langenhain-Ziegenberg","Friedberg","Hessen","j","j","j","j",NA,474153.978945324,5579288.59652901,"detected"
"843","139",8,17,"br","Wernborn","Usingen","Hessen-Nassau","j","j","j","j",NA,469450.274312879,5578880.00371521,"detected"
"847","139",9,5,"cu","Wölfersheim","Friedberg","Hessen",NA,NA,"j","j",NA,486979.687004842,5583055.39513357,"detected"
"848","139",9,9,"br","Södel","Friedberg","Hessen","j","j","j","j",NA,486047.299811426,5582546.28727789,"detected"
"851","139",9,18,"d","Schwalheim","Friedberg","Hessen","j",NA,NA,NA,NA,483104.776599131,5578140.52157774,"detected"
"854","139",9,24,"dr","Bauernheim","Friedberg","Hessen","j","j","j","j",NA,486144.671249429,5576297.02541937,"detected"
"856","139",10,8,"al","Bisses","Büdingen","Hessen",NA,"j",NA,NA,NA,493077.175296209,5582699.19408556,"detected"
"857","139",10,12,"ab","Gettenau","Büdingen","Hessen","j","j","j","j",NA,491546.494709167,5581111.37066171,"detected"
"859","139",10,12,"d","Bingenheim","Büdingen","Hessen","j","j","j","j",NA,492554.437169187,5579942.33938217,"detected"
"860","139",10,16,"a","Weckesheim","Friedberg","Hessen","j",NA,NA,NA,NA,488918.336629111,5578892.38213189,"detected"
"862","139",10,19,"ab","Dauernheim","Büdingen","Hessen","j","j","j","j",NA,497048.301458215,5579048.38991043,"detected"
"863","139",10,20,"co","Ranstadt","Büdingen","Hessen","j","j","j","j",NA,499018.370258662,5578502.81926608,"detected"
"864","139",10,21,"c","Dorn-Assenheim","Friedberg","Hessen","j","j","j","j",NA,488727.819455266,5576268.65950434,"detected"
"865","139",11,1,"a","Nidda","Büdingen","Hessen","j","j","j","j",NA,500831.40474995,5583884.48348353,"detected"
"868","139",11,6,"ad","Wallernhausen","Büdingen","Hessen","j","j","j","j",NA,501158.613311644,5582372.33012759,"detected"
"869","139",11,17,"dl","Ortenberg","Büdingen","Hessen","j","j","j","j",NA,503983.692718894,5578148.41468555,"detected"
"870","139",11,19,"au","Usenborn","Büdingen","Hessen","j","j","j","j",NA,508222.632696928,5578698.14150869,"detected"
"871","139",11,20,"dl","Bindsachsen","Büdingen","Hessen","j","j","j","j",NA,511866.383543542,5577859.99868992,"detected"
"875","139",12,4,"c","Kirchbracht","Gelnhausen","Hessen-Nassau","j","j","j",NA,NA,519707.103719535,5583354.08335917,"detected"
"876","139",12,6,"du","Wenings","Büdingen","Hessen","j","j",NA,"j",NA,513983.895960194,5581501.15800521,"detected"
"879","139",12,15,"ab","Oberreichenbach","Gelnhausen","Hessen-Nassau","j","j","j",NA,NA,523228.446533525,5580955.48082618,"detected"
"880","139",12,15,"cd","Unterreichenbach","Gelnhausen","Hessen-Nassau","j","j","j","j",NA,523013.211931827,5579764.76873066,"detected"
"882","139",12,22,"a","Kefenrod","Büdingen","Hessen","j","j","j","j",NA,515162.647263023,5577023.35421542,"detected"
"883","139",12,23,"ar","Hitzkirchen","Büdingen","Hessen","j","j","j",NA,NA,518031.045711015,5576754.3641215,"detected"
"885","139",13,13,"bo","Treisberg","Usingen","Hessen-Nassau","j",NA,NA,NA,NA,459842.676473269,5571671.95053219,"detected"
"887","139",13,21,"do","Niederems","Usingen","Hessen-Nassau","j","j",NA,NA,NA,454476.486542662,5567222.94092108,"detected"
"888","139",14,4,"al","Pfaffenwiesbach","Usingen","Hessen-Nassau","j","j","j","j",NA,471949.434491,5575319.08285986,"detected"
"889","139",14,6,"b","Westerfeld","Usingen","Hessen-Nassau",NA,NA,"j",NA,NA,466201.588981394,5573617.99753669,"detected"
"891","139",14,20,"ac","Köppern","Obertaunuskreis","Hessen-Nassau","j","j","j","j",NA,474896.398606591,5569344.38163293,"detected"
"892","139",15,2,"ab","Ockstadt","Friedberg","Hessen","j","j","j","j",NA,480121.873769379,5575660.17071344,"detected"
"894","139",15,9,"dl","Bruchenbrücken","Friedberg","Hessen","j","j","j","j",NA,485272.579512395,5572329.8430884,"detected"
"895","139",15,15,"ao","Assenheim","Friedberg","Hessen","j","j","j","j",NA,486809.013957662,5571591.9386704,"detected"
"897","139",15,24,"bd","Burg-Gräfenrode","Friedberg","Hessen","j","j","j","j",NA,485522.798787033,5567459.00224609,"detected"
"899","139",16,3,"a","Staden","Friedberg","Hessen","j","j",NA,NA,NA,493722.442527877,5575415.33192211,"detected"
"901","139",16,16,"dr","Erbstadt","Hanau","Hessen-Nassau","j",NA,NA,NA,NA,490329.232010952,5568593.33268391,"detected"
"902","139",16,18,"ao","Engelthal","Büdingen","Hessen","j","j","j",NA,NA,493410.702698683,5570834.65412914,"detected"
"904","139",16,19,"ac","Oberau","Büdingen","Hessen","j","j","j","j",NA,496479.83800099,5569141.64146715,"detected"
"905","139",16,20,"dl","Hainchen","Büdingen","Hessen","j","j","j","j",NA,499686.433088222,5568629.01044644,"detected"
"906","139",16,21,"cl","Kaichen","Friedberg","Hessen","j","j","j","j",NA,488394.310020431,5566940.4776642,"detected"
"907","139",16,24,"br","Rommelhausen","Büdingen","Hessen","j","j","j","j",NA,497818.891945298,5567673.21778175,"detected"
"909","139",17,2,"ar","Bleichenbach","Büdingen","Hessen","j","j","j","j",NA,503423.655020922,5575134.74155525,"detected"
"911","139",17,8,"ad","Wolf","Büdingen","Hessen","j","j","j","j",NA,506244.852091394,5572969.0943918,"detected"
"912","139",17,11,"bd","Düdelsheim","Büdingen","Hessen","j","j","j","j",NA,501403.257051175,5571153.19942208,"detected"
"913","139",17,12,"br","Büches","Büdingen","Hessen","j","j","j",NA,NA,505142.588643845,5571477.9583117,"detected"
"914","139",17,12,"dr","Orleshausen","Büdingen","Hessen","j","j","j","j",NA,504830.11102294,5570465.83331076,"detected"
"915","139",17,14,"cl","Büdingen","Büdingen","Hessen","j","j","j","j",NA,508177.303423635,5571192.67329752,"detected"
"916","139",17,18,"dl","Lorbach","Büdingen","Hessen","j","j",NA,NA,NA,506684.46590364,5568799.99397965,"detected"
"918","139",17,21,"d","Eckartshausen","Büdingen","Hessen","j","j","j",NA,NA,501618.231711868,5566950.28439168,"detected"
"919","139",17,23,"bd","Vonhausen","Büdingen","Hessen","j","j","j","j",NA,507370.688818465,5567288.72043767,"detected"
"921","139",18,1,"al","Michelau","Büdingen","Hessen","j",NA,NA,NA,NA,511822.589979419,5575169.06409149,"detected"
"922","139",18,1,"b","Wolferborn","Gelnhausen","Hessen-Nassau","j",NA,NA,NA,NA,513679.949438691,5575318.08317666,"detected"
"923","139",18,3,"ad","Streitberg","Gelnhausen","Hessen-Nassau","j","j","j","j",NA,518287.691638891,5574553.64071649,"detected"
"924","139",18,6,"bo","Rinderbügen","Büdingen","Hessen","j",NA,NA,NA,NA,513228.782876678,5573571.23316852,"detected"
"925","139",18,13,"d","Wittgenborn","Gelnhausen","Hessen-Nassau","j","j","j",NA,NA,518844.344853358,5570152.40390974,"detected"
"926","139",18,21,"bl","Breitenborn","Gelnhausen","Hessen-Nassau","j","j","j","j",NA,518505.375883201,5556986.31198136,"detected"
"927","139",19,3,"bd","Niederreifenberg","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,459107.619545236,5565939.8862542,"detected"
"928","139",19,7,"au","Kröftel","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,455647.188137531,5563988.35937747,"detected"
"929","139",19,20,"cl","Falkenstein","Obertaunuskreis","Hessen-Nassau","j","j","j","j",NA,462781.361747563,5560030.75592443,"detected"
"930","139",20,8,"al","Oberstedten","Obertaunuskreis","Hessen-Nassau","j","j","j","j",NA,469649.342907793,5563923.35825348,"detected"
"932","139",20,18,"bo","Bommersheim","Obertaunuskreis","Hessen-Nassau","j","j","j","j",NA,470651.077076481,5560604.22757485,"detected"
"933","139",21,2,"ar","Petterweil","Friedberg","Hessen","j","j","j","j",NA,479670.478058093,5565576.81614062,"detected"
"934","139",21,3,"bo","Okarben","Friedberg","Hessen","j","j","j","j",NA,482660.980176563,5566411.26432615,"detected"
"935","139",21,3,"dr","Groß Karben","Friedberg","Hessen","j","j","j","j",NA,483726.289345378,5565062.49379131,"detected"
"939","139",21,13,"cd","Dortelweil","Friedberg","Hessen","j","j","j","j",NA,482260.263888343,5561698.13037902,"detected"
"940","139",21,14,"ab","Rendel","Friedberg","Hessen","j","j","j","j",NA,485024.122325814,5562501.31631642,"detected"
"944","139",21,20,"a","Oberdorfelden","Hanau","Hessen-Nassau",NA,NA,"j","j",NA,487402.580401333,5560571.58145301,"detected"
"945","139",22,1,"d","Heldenbergen","Friedberg","Hessen","j","j","j","j",NA,490372.792979099,5565101.89488006,"detected"
"946","139",22,10,"c","Marköbel","Hanau","Hessen-Nassau","j","j","j","j",NA,498908.548933937,5563303.14545687,"detected"
"947","139",22,18,"bd","Niederissigheim","Hanau","Hessen-Nassau","j","j","j","j",NA,494789.484265271,5560303.49167122,"detected"
"948","139",22,21,"du","Wachenbuchen","Hanau","Hessen-Nassau","j","j","j","j",NA,489644.46830139,5557286.68884077,"detected"
"949","139",22,25,"cl","Langendiebach","Hanau","Hessen-Nassau","j","j",NA,NA,NA,498478.664985607,5556776.49857525,"detected"
"952","139",23,5,"dl","Gettenbach","Gelnhausen","Hessen-Nassau","j","j",NA,NA,NA,511053.759913555,5564960.12371437,"detected"
"953","139",23,7,"ao","Altwiedermus","Büdingen","Hessen","j","j","j",NA,NA,503737.009791845,5564772.0414337,"detected"
"954","139",23,19,"al","Rothenbergen","Gelnhausen","Hessen-Nassau","j","j","j","j",NA,508007.671123781,5560851.7884444,"detected"
"955","139",23,22,"al","Langenselbold","Hanau","Hessen-Nassau","j","j","j","j",NA,502592.070164186,5558066.6908369,"detected"
"956","139",24,8,"do","Wirtheim","Gelnhausen","Hessen-Nassau",NA,NA,"j",NA,NA,518640.104644173,5563380.17521379,"detected"
"957","139",24,22,"c","Geislitz","Gelnhausen","Hessen-Nassau",NA,NA,"j","j",NA,515275.011827681,5557709.91818478,"detected"
"958","139",24,24,"a","Lanzingen","Gelnhausen","Hessen-Nassau",NA,NA,"j",NA,NA,520085.360886142,5558470.84932083,"detected"
"960","139",25,5,"cd","Neuenhain","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,464368.496737418,5556117.05306901,"detected"
"961","139",25,6,"d","Bremthal","Main-Taunuskreis","Hessen-Nassau","j","j","j",NA,NA,454081.164477061,5554438.87255513,"detected"
"962","139",25,13,"cr","Lorsbach","Main-Taunuskreis","Hessen-Nassau","j","j","j",NA,NA,458627.642282235,5551866.47292316,"detected"
"963","139",25,15,"co","Niederhofheim","Main-Taunuskreis","Hessen-Nassau","j",NA,NA,NA,NA,462349.123082563,5552394.8838221,"detected"
"965","139",25,24,"cl","Hofheim","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,457387.612163131,5500662.86692827,"detected"
"966","139",26,7,"br","Eschborn","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,469423.108643769,5554328.85239638,"detected"
"970","139",27,14,"bo","Rumpenheim","Offenbach","Hessen","j",NA,NA,NA,NA,485598.216958738,5553159.89010216,"detected"
"976","139",29,6,"b","Niederrodenbach","Hanau","Hessen-Nassau","j","j","j","j",NA,501907.91266744,5554297.14142014,"detected"
"977","139",29,9,"c","Somborn","Gelnhausen","Hessen-Nassau","j","j",NA,NA,NA,508031.744291654,5554347.32256912,"detected"
"984","139",31,2,"al","Breckenheim","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,455024.098314441,5547603.5633265,"detected"
"985","139",31,6,"a","Nordenstadt","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,452992.054532755,5545986.50707193,"detected"
"986","139",31,7,"al","Wallau","Main-Taunuskreis","Hessen-Nassau","j","j",NA,NA,NA,455050.766519872,5545668.58748404,"detected"
"987","139",31,11,"bo","Delkenheim","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,454292.332658237,5544029.36592185,"detected"
"989","139",31,19,"cu","Raunheim","Groß Gerau","Hessen","j","j","j","j",NA,460788.99932102,5540453.086988,"detected"
"992","139",32,1,"dr","Kelsterbach","Groß Gerau","Hessen","j","j","j","j",NA,466473.979036214,5545562.54567726,"detected"
"993","139",32,23,"cl","Walldorf","Groß Gerau","Hessen","j",NA,NA,NA,NA,469291.917909188,5538929.92064359,"detected"
"994","139",33,21,"bo","Sprendlingen","Offenbach","Hessen","j","j","j","j",NA,478192.072486955,5540520.7575275,"detected"
"995","139",33,22,"cu","Dreieichenhain","Offenbach","Hessen","j","j","j",NA,NA,479561.285426553,5538858.68533291,"detected"
"996","139",33,24,"ac","Dietzenbach","Offenbach","Hessen","j","j","j","j",NA,484021.332319076,5539688.54367432,"detected"
"1000","139",34,8,"dr","Froschhausen","Offenbach","Hessen","j","j","j","j",NA,495332.610659709,5544714.56363827,"detected"
"1001","139",34,11,"bl","Rembrücken","Offenbach","Hessen","j","j","j","j",NA,489468.253229014,5543966.82966565,"detected"
"1002","139",34,14,"bd","Seligenstadt","Offenbach","Hessen","j","j","j","j",NA,498138.376543691,5543578.75906775,"detected"
"1003","139",34,17,"ad","Jügesheim","Offenbach","Hessen","j","j","j","j",NA,491254.098692322,5541484.1755303,"detected"
"1004","139",34,25,"ar","Zellhausen","Offenbach","Hessen","j","j","j","j",NA,499491.353770311,5540632.05231629,"detected"
"1006","139",35,16,"bo","Mainflingen","Offenbach","Hessen","j",NA,NA,NA,NA,501862.11072157,5542177.82420915,"detected"
"1012","140",1,1,"co","Grebenhain","Lauterbach","Hessen","j",NA,NA,NA,NA,523877.497384351,5593067.49079867,"detected"
"1015","140",1,13,"al","Gunzenau","Lauterbach","Hessen","j","j",NA,NA,NA,528612.434712052,5589844.14310686,"detected"
"1017","140",1,19,"cl","Reinhards","Schlüchtern","Hessen-Nassau","j","j","j","j",NA,531606.213889604,5587759.62043121,"detected"
"1018","140",1,23,"cl","Freiensteinau","Lauterbach","Hessen","j",NA,NA,NA,NA,528590.924768231,5585952.17229339,"detected"
"1019","140",2,24,"bu","Mittelkalbach","Fulda","Hessen-Nassau","j","j","j","j",NA,545548.492654194,5585837.70779375,"detected"
"1020","140",3,1,"b","Eichenzell","Fulda","Hessen-Nassau",NA,NA,"j",NA,NA,549517.18347774,5593668.66790043,"detected"
"1021","140",3,7,"bl","Welkers","Fulda","Hessen-Nassau","j","j",NA,NA,NA,551104.785997723,5592349.39952627,"detected"
"1022","140",3,15,"c","Hettenhausen","Fulda","Hessen-Nassau","j","j","j",NA,NA,557747.221512318,5589026.26267048,"detected"
"1023","140",3,25,"cr","Dalherda","Fulda","Hessen-Nassau","j","j","j","j",NA,558573.125177222,5585621.39130078,"detected"
"1025","140",4,13,"dr","Sandberg","Fulda","Hessen-Nassau",NA,NA,"j","j",NA,566830.811249628,5589978.70906046,"detected"
"1026","140",4,23,"a","Rengersfeld","Fulda","Hessen-Nassau",NA,NA,"j","j",NA,564890.189947695,5586718.34122232,"detected"
"1028","140",7,8,"bd","Ürzell","Schlüchtern","Hessen-Nassau","j","j","j","j",NA,530722.713534993,5582161.25684498,"detected"
"1029","140",7,17,"dr","Sarrod","Schlüchtern","Hessen-Nassau","j","j",NA,NA,NA,528335.996772283,5577844.70141641,"detected"
"1030","140",8,1,"dr","Höf und Haid","Fulda","Hessen-Nassau","j","j","j","j",NA,537665.628847193,5583484.93044372,"detected"
"1031","140",8,10,"a","Eichenried","Fulda","Hessen-Nassau","j","j",NA,NA,NA,546277.746137879,5582875.01826992,"detected"
"1032","140",8,17,"bl","Elm","Schlüchtern","Hessen-Nassau","j",NA,NA,NA,NA,539654.053737739,5578951.51262165,"detected"
"1033","140",8,22,"b","Herolz","Schlüchtern","Hessen-Nassau",NA,NA,"j","j",NA,539480.564270825,5577415.70216904,"detected"
"1034","140",8,23,"do","Vollmerz","Schlüchtern","Hessen-Nassau","j","j","j","j",NA,542482.695802962,5576593.84090965,"detected"
"1036","140",9,22,"cu","Oberzell","Schlüchtern","Hessen-Nassau","j","j",NA,NA,NA,550680.727690804,5575876.43200852,"detected"
"1038","140",13,14,"ad","Seidenroth","Schlüchtern","Hessen-Nassau","j","j","j","j",NA,532371.521355386,5570584.61905326,"detected"
"1039","140",13,18,"dl","Alsberg","Gelnhausen","Hessen-Nassau","j","j","j","j",NA,530573.618347801,5568561.36096613,"detected"
"1041","140",14,8,"bd","Weiperz","Schlüchtern","Hessen-Nassau","j","j","j","j",NA,542291.906599752,5572856.10221815,"detected"
"1042","140",14,18,"dr","Neuengronau","Schlüchtern","Hessen-Nassau","j","j","j",NA,NA,543036.643378065,5568836.78836731,"detected"
"1044","140",15,6,"a","Weichersbach","Schlüchtern","Hessen-Nassau",NA,NA,"j","j",NA,547599.974149693,5573368.12974822,"detected"
"1045","140",15,6,"cu","Schwarzenfels","Schlüchtern","Hessen-Nassau",NA,NA,"j","j",NA,548259.259124528,5572128.67015964,"detected"
"1046","140",15,7,"br","Züntersbach","Schlüchtern","Hessen-Nassau","j",NA,NA,NA,NA,551971.104400463,5573487.01905421,"detected"
"1048","140",19,5,"co","Mernes","Gelnhausen","Hessen-Nassau",NA,NA,"j","j",NA,534071.904182946,5565391.40899166,"detected"
"1051","140",25,13,"ao","Flörsbach","Gelnhausen","Hessen-Nassau","j","j","j",NA,NA,529740.011165911,5553189.98116207,"detected"
"1054","151",1,3,"a","Rüsselsheim","Groß Gerau","Hessen","j","j","j","j",NA,457747.830913463,5538219.04087895,"detected"
"1055","151",1,4,"cu","Haßloch","Groß Gerau","Hessen","j",NA,NA,NA,NA,461137.936318841,5537192.6900996,"detected"
"1057","151",1,12,"au","Bauschheim","Groß Gerau","Hessen",NA,"j","j","j",NA,455479.49857027,5534367.96274165,"detected"
"1058","151",1,22,"ao","Astheim","Groß Gerau","Hessen","j","j",NA,NA,NA,455612.857287433,5531409.2033671,"detected"
"1059","151",1,23,"co","Trebur","Groß Gerau","Hessen","j","j","j","j",NA,457607.041725884,5530370.15848254,"detected"
"1060","151",2,14,"d","Erzhausen","Darmstadt","Hessen","j","j","j","j",NA,473771.492442991,5533157.7919615,"detected"
"1062","151",2,23,"a","Schneppenhausen","Darmstadt","Hessen","j","j","j","j",NA,469833.725319436,5530765.72528563,"detected"
"1064","151",3,6,"cl","Egelsbach","Offenbach","Hessen","j","j","j","j",NA,476054.159909637,5535048.40221654,"detected"
"1065","151",3,8,"a","Offenthal","Offenbach","Hessen","j",NA,NA,NA,NA,481767.249082933,5536360.17250841,"detected"
"1066","151",3,9,"d","Urberach","Dieburg","Hessen","j","j","j","j",NA,485328.316224375,5535504.24598826,"detected"
"1068","151",3,18,"co","Messel","Darmstadt","Hessen","j","j","j","j",NA,481356.971169571,5531769.64549159,"detected"
"1070","151",4,13,"du","Sickenhofen","Dieburg","Hessen","j",NA,NA,NA,NA,494920.668828452,5533029.42703071,"detected"
"1071","151",4,14,"a","Babenhausen","Dieburg","Hessen","j","j","j","j",NA,496715.081982783,5534440.06325597,"detected"
"1074","151",4,23,"a","Harpertshausen","Dieburg","Hessen","j","j","j","j",NA,493848.735334605,5530428.85405228,"detected"
"1077","151",5,21,"c","Schaafheim","Dieburg","Hessen","j",NA,NA,NA,NA,500545.557252745,5529891.68256272,"detected"
"1080","151",7,4,"co","Wallerstädten","Groß Gerau","Hessen",NA,"j","j","j",NA,460584.501268237,5528201.56851387,"detected"
"1081","151",7,5,"cu","Berkach","Groß Gerau","Hessen","j",NA,NA,NA,NA,462734.268294868,5527541.35696572,"detected"
"1085","151",7,19,"co","Leeheim","Groß Gerau","Hessen","j",NA,NA,NA,NA,460122.140297703,5522979.16394872,"detected"
"1087","151",7,24,"d","Erfelden","Groß Gerau","Hessen","j","j",NA,NA,NA,461908.511269893,5520453.42455706,"detected"
"1088","151",8,1,"c","Büttelborn","Groß Gerau","Hessen","j",NA,NA,NA,NA,464969.933244156,5527859.8938053,"detected"
"1090","151",8,21,"cl","Goddelau","Groß Gerau","Hessen","j","j","j","j",NA,463843.069570603,5520462.34079474,"detected"
"1091","151",9,14,"cr","Gundernhausen","Dieburg","Hessen","j","j","j","j",NA,484751.851097228,5524398.58867004,"detected"
"1093","151",9,22,"cl","Traisa","Darmstadt","Hessen","j","j","j","j",NA,478274.892554597,5520206.97908184,"detected"
"1095","151",9,24,"b","Georgenhausen","Dieburg","Hessen","j",NA,NA,NA,NA,485641.685014713,5521249.67747095,"detected"
"1097","151",10,4,"cu","Kleestadt","Dieburg","Hessen","j","j","j","j",NA,496631.993733775,5527746.87989637,"detected"
"1098","151",10,8,"dl","Richen","Dieburg","Hessen","j","j","j","j",NA,494569.191065207,5525980.76326203,"detected"
"1101","151",10,12,"co","Semd","Dieburg","Hessen","j","j","j","j",NA,491909.234209014,5524638.79673857,"detected"
"1103","151",10,14,"do","Raibach","Dieburg","Hessen","j","j","j","j",NA,497183.169833305,5524344.38106028,"detected"
"1104","151",10,17,"cu","Habitzheim","Dieburg","Hessen","j","j","j","j",NA,491344.432482047,5521937.94865256,"detected"
"1107","151",11,11,"cu","Dorndiel","Dieburg","Hessen","j",NA,NA,NA,NA,501106.732958552,5523754.49317188,"detected"
"1113","151",11,25,"au","Obernburg","BA. Obernburg","RegBez. Unterfranken (Bayern)","j",NA,NA,NA,NA,493360.248964466,5675662.33821378,"detected"
"1120","151",13,25,"c","Gernsheim","Groß Gerau","Hessen","j","j","j","j",NA,462644.392350497,5511431.15730166,"detected"
"1122","151",14,6,"au","Crumstadt","Groß Gerau","Hessen","j","j","j","j",NA,465061.073188364,5517541.25907795,"detected"
"1123","151",14,7,"b","Eschollbrücken","Darmstadt","Hessen",NA,"j","j","j",NA,468811.32712543,5517807.36007741,"detected"
"1125","151",14,12,"bu","Hahn","Darmstadt","Hessen","j","j","j","j",NA,468051.706575005,5515888.31885622,"detected"
"1126","151",14,24,"c","Bickenbach","Bensheim","Hessen","j","j","j","j",NA,472080.50937189,5511374.19890197,"detected"
"1135","151",15,17,"au","Neutsch","Dieburg","Hessen","j","j","j","j",NA,479401.040148177,5513787.34597772,"detected"
"1136","151",15,19,"do","Lichtenberg","Dieburg","Hessen","j","j",NA,NA,NA,486052.781688572,5513388.065199,"detected"
"1137","151",16,1,"al","Reinheim","Dieburg","Hessen","j","j","j","j",NA,488040.28845018,5519965.22959524,"detected"
"1138","151",16,1,"co","Ueberau","Dieburg","Hessen","j","j","j","j",NA,488973.543041414,5519151.61430403,"detected"
"1139","151",16,4,"co","Wiebelsbach","Dieburg","Hessen","j",NA,NA,NA,NA,495871.218388,5518941.7973863,"detected"
"1142","151",16,13,"do","Hassenroth","Erbach","Hessen","j","j","j","j",NA,495314.231010826,5515339.9907396,"detected"
"1143","151",16,16,"bu","Wersau","Dieburg","Hessen","j","j","j","j",NA,490194.052184701,5513945.98378393,"detected"
"1144","151",16,18,"br","Hummetroth","Erbach","Hessen","j","j","j","j",NA,495521.999488234,5514172.41922353,"detected"
"1147","151",17,1,"cu","Sandbach","Erbach","Hessen","j","j","j","j",NA,501287.658371939,5518473.41018796,"detected"
"1149","151",17,2,"du","Rai-Breitenbach","Erbach","Hessen","j","j",NA,NA,NA,503762.589972311,5518007.60807537,"detected"
"1150","151",17,10,"c","Erlenbach","BA. Obernburg","RegBez. Unterfranken (Bayern)","j","j","j",NA,NA,500887.967964621,5499228.17363404,"detected"
"1151","151",17,12,"cu","Rimhorn","Erbach","Hessen","j","j","j","j",NA,502929.843150414,5514716.14174038,"detected"
"1152","151",17,13,"c","Lützel-Wiebelsbach","Erbach","Hessen","j","j","j","j",NA,505542.615411519,5515040.61457072,"detected"
