"","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","x","y","res"
"205","112",21,25,"a","Küchen","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,557130.848289496,5669814.6021424,"detected"
"206","112",22,9,"d","Wellingerode","Eschwege","Hessen-Nassau","j","j","j",NA,NA,567518.69022618,5674678.6683101,"detected"
"207","112",22,17,"br","Germerode","Eschwege","Hessen-Nassau","j","j",NA,NA,NA,563310.900431318,5672089.18441083,"detected"
"208","112",22,20,"c","Eltmannshausen","Eschwege","Hessen-Nassau",NA,"j","j","j",NA,569163.343927593,5670807.71863097,"detected"
"209","112",23,2,"bu","Hitzelrode","Eschwege","Hessen-Nassau","j","j","j",NA,NA,573698.751450718,5677221.80883413,"detected"
"213","112",23,24,"ar","Aue","Eschwege","Hessen-Nassau","j","j","j","j",NA,578705.998671813,5670299.88857398,"detected"
"219","112",25,2,"ao","Maden","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,526276.170805425,5668218.65486953,"detected"
"220","112",25,12,"ad","Lohre","Melsungen","Hessen-Nassau",NA,"j","j",NA,NA,527181.999979749,5663519.21835643,"detected"
"221","112",25,13,"br","Gensungen","Melsungen","Hessen-Nassau",NA,"j","j","j",NA,530621.523653484,5664161.29116188,"detected"
"222","112",26,2,"ac","Röhrenfurth","Melsungen","Hessen-Nassau","j","j","j","j",NA,538359.440212105,5667215.83015864,"detected"
"223","112",26,15,"c","Elbersdorf","Melsungen","Hessen-Nassau","j","j",NA,NA,NA,544944.328253458,5662798.36615381,"detected"
"225","112",27,7,"do","Vockerode-Dinkelberg","Melsungen","Hessen-Nassau",NA,"j",NA,NA,NA,550356.951596873,5665506.46638656,"detected"
"227","112",27,20,"a","Schemmern","Eschwege","Hessen-Nassau","j","j","j","j",NA,557504.026633875,5662689.68890325,"detected"
"228","112",27,21,"dr","Metzebach","Melsungen","Hessen-Nassau","j","j","j","j",NA,549153.780815495,5659611.60075482,"detected"
"229","112",28,14,"br","Hoheneiche","Eschwege","Hessen-Nassau","j","j","j","j",NA,568162.389759141,5664576.98520583,"detected"
"230","112",29,11,"d","Datterode","Eschwege","Hessen-Nassau",NA,NA,"j","j",NA,571619.761361021,5663567.28676958,"detected"
"232","112",29,22,"cu","Grandenborn","Eschwege","Hessen-Nassau",NA,"j",NA,NA,NA,572670.788240162,5659522.33305688,"detected"
"241","112",31,2,"c","Hebel","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,526828.20078334,5657534.36783961,"detected"
"243","112",31,19,"bo","Welferode","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,532655.705356148,5653442.12131358,"detected"
"244","112",32,8,"br","Neumorschen","Melsungen","Hessen-Nassau","j","j","j","j",NA,542667.662059325,5657073.84383769,"detected"
"245","112",32,15,"au","Niederellenbach","Rotenburg","Hessen-Nassau","j","j","j","j",NA,545835.64018657,5654654.34009807,"detected"
"246","112",32,19,"b","Oberellenbach","Rotenburg","Hessen-Nassau","j","j","j","j",NA,544638.080711395,5652875.59272608,"detected"
"247","112",32,22,"al","Rengshausen","Rotenburg","Hessen-Nassau","j","j","j","j",NA,537633.842365624,5650651.27008129,"detected"
"248","112",33,4,"cl","Dankerode","Rotenburg","Hessen-Nassau","j","j","j","j",NA,554588.009936698,5657753.3506603,"detected"
"249","112",33,6,"cl","Heinebach","Melsungen","Hessen-Nassau","j","j","j","j",NA,546558.425376696,5655361.44068001,"detected"
"250","112",33,18,"dr","Schwarzenhasel","Rotenburg","Hessen-Nassau","j",NA,NA,NA,NA,554069.913375508,5652353.98230525,"detected"
"251","112",34,1,"bo","Diemerode","Rotenburg","Hessen-Nassau","j","j","j","j",NA,559668.446502466,5658955.1351323,"detected"
"252","112",34,12,"dl","Mönchhosbach","Rotenburg","Hessen-Nassau",NA,NA,"j","j",NA,562986.424176784,5654590.3257316,"detected"
"253","112",34,21,"cl","Braunhausen","Rotenburg","Hessen-Nassau","j","j","j","j",NA,558263.903211095,5650553.37204281,"detected"
"254","112",35,1,"cl","Breitau","Rotenburg","Hessen-Nassau",NA,NA,NA,"j",NA,570046.878234216,5657739.8409274,"detected"
"255","112",35,4,"bu","Lüderbach","Eschwege","Hessen-Nassau","j","j","j","j",NA,579424.950594898,5658576.3909073,"detected"
"256","112",35,11,"ab","Ulfen","Rotenburg","Hessen-Nassau","j",NA,NA,NA,NA,571084.800636033,5655140.31044421,"detected"
"258","112",35,19,"al","Nesselröden","Eschwege","Hessen-Nassau",NA,NA,NA,"j",NA,577857.896803632,5653291.53077573,"detected"
"266","124",23,24,"br","Rabenscheid","Dillkreis","Hessen-Nassau",NA,"j","j","j",NA,439835.823824029,5614753.37357367,"detected"
"267","124",24,2,"a","Haiger","Dillkreis","Hessen-Nassau","j",NA,NA,NA,NA,443520.82546712,5621640.62394836,"detected"
"268","124",24,7,"d","Donsbach","Dillkreis","Hessen-Nassau","j","j","j","j",NA,446142.983243693,5619322.01720726,"detected"
"269","124",24,17,"co","Erdbach","Dillkreis","Hessen-Nassau","j","j","j","j",NA,444847.398336436,5615621.17040446,"detected"
"270","124",24,18,"b","Uckersdorf","Dillkreis","Hessen-Nassau",NA,NA,NA,"j",NA,448061.968613241,5616366.71133036,"detected"
"271","124",24,18,"c","Amdorf","Dillkreis","Hessen-Nassau","j","j","j","j",NA,447673.308508241,5614936.01389522,"detected"
"272","124",24,19,"bo","Burg","Dillkreis","Hessen-Nassau","j","j","j","j",NA,450842.706259453,5616139.66015134,"detected"
"280","124",28,12,"b","Büdingen","Oberwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,508177.303423635,5571192.67329752,"detected"
"286","124",29,5,"au","Heisterberg","Dillkreis","Hessen-Nassau","j","j",NA,NA,NA,440274.060899571,5612290.62077748,"detected"
"289","124",29,15,"ad","Mademühlen","Dillkreis","Hessen-Nassau","j","j","j","j",NA,440758.920782232,5608281.59545152,"detected"
"291","124",30,3,"d","Hirschberg","Dillkreis","Hessen-Nassau","j","j","j",NA,NA,448421.314722577,5611258.77327858,"detected"
"292","124",30,4,"ad","Merkenbach","Dillkreis","Hessen-Nassau","j","j","j","j",NA,450392.289410657,5611840.24436118,"detected"
"293","124",30,7,"ac","Heiligenborn","Dillkreis","Hessen-Nassau","j","j","j",NA,NA,444713.241599517,5610273.49402145,"detected"
"294","124",30,12,"ac","Seilhofen","Dillkreis","Hessen-Nassau","j","j","j",NA,NA,444007.307014861,5608401.58609736,"detected"
"295","124",30,15,"a","Edingen","Wetzlar","Hessen-Nassau","j",NA,"j","j",NA,452035.944679005,5609144.89703496,"detected"
"308","124",35,10,"ao","Mengerskirchen","Oberlahnkreis","Hessen-Nassau","j",NA,NA,NA,NA,440104.451745558,5601761.11390154,"detected"
"310","124",35,12,"c","Langendernbach","Limburg","Hessen-Nassau","j","j","j","j",NA,432226.422692494,5598909.75401032,"detected"
"311","124",35,15,"cl","Waldernbach","Oberlahnkreis","Hessen-Nassau",NA,"j","j","j",NA,439312.252327424,5598789.84116106,"detected"
"312","124",35,24,"ad","Lahr","Limburg","Hessen-Nassau","j","j","j","j",NA,438276.312059947,5595665.84699277,"detected"
"313","124",36,9,"d","Bissenberg","Wetzlar","Hessen-Nassau","j","j","j","j",NA,450805.905593564,5600148.76248378,"detected"
"314","124",36,12,"ao","Dillhausen","Oberlahnkreis","Hessen-Nassau",NA,NA,NA,"j",NA,444519.5289192,5599966.70472749,"detected"
"316","124",36,16,"d","Barig-Selbenhausen","Oberlahnkreis","Hessen-Nassau",NA,NA,"j","j",NA,443165.150353781,5596589.39870488,"detected"
"321","125",1,24,"br","Wallau","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,455050.766519872,5545668.58748404,"detected"
"324","125",2,20,"ar","Niederasphe","Marburg","Hessen-Nassau","j","j","j","j",NA,476449.411023509,5643328.51172753,"detected"
"325","125",3,6,"c","Wollmar","Marburg","Hessen-Nassau","j","j","j","j",NA,477693.535547106,5646714.75105782,"detected"
"327","125",4,3,"c","Lehnhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,494441.039200703,5648404.4666621,"detected"
"328","125",4,9,"d","Gemünden","Frankenberg","Hessen-Nassau","j",NA,NA,NA,NA,457726.397109016,5578716.03586055,"detected"
"329","125",4,15,"c","Schiffelbach","Marburg","Hessen-Nassau","j","j",NA,NA,NA,499515.309578472,5644264.74584483,"detected"
"330","125",4,19,"cl","Wohra","Marburg","Hessen-Nassau","j","j","j","j",NA,496254.785480938,5642664.75711648,"detected"
"331","125",5,3,"ad","Densberg","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,506547.836142333,5649028.36414701,"detected"
"332","125",5,7,"cu","Moischeid","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,503454.83703283,5646089.60423165,"detected"
"333","125",5,9,"b","Hundshausen","Fritzlar-Homberg","Hessen-Nassau","j","j",NA,NA,NA,509927.011709721,5647210.00072584,"detected"
"334","125",5,13,"b","Sebbeterode","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,507114.243812254,5645414.99801993,"detected"
"336","125",6,3,"d","Neuenhain","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,464368.496737418,5556117.05306901,"detected"
"337","125",6,15,"ao","Spieskappel","Ziegenhain","Hessen-Nassau",NA,NA,"j","j",NA,522436.748144993,5645814.55430726,"detected"
"338","125",6,16,"d","Dittershausen","Ziegenhain","Hessen-Nassau",NA,NA,"j",NA,NA,513554.875483545,5642514.31707492,"detected"
"339","125",6,19,"c","Leimsfeld","Ziegenhain","Hessen-Nassau","j","j",NA,"j",NA,519812.470601647,5643412.96143018,"detected"
"341","125",7,13,"d","Niederdieten","Biedenkopf","Hessen-Nassau","j","j","j","j",NA,460673.352939806,5635584.07213152,"detected"
"342","125",7,16,"c","Mandeln","Dillkreis","Hessen-Nassau","j","j","j","j",NA,453455.72798019,5633475.13493173,"detected"
