"","X","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res"
"938",1081,"151",7,5,"cu","Berkach","Groß Gerau","Hessen","j",NA,NA,NA,NA,"detected","","",462734.268294868,5527541.35696572,"detected"
"939",1085,"151",7,19,"co","Leeheim","Groß Gerau","Hessen","j",NA,NA,NA,NA,"detected","","",460122.140297703,5522979.16394872,"detected"
"940",1087,"151",7,24,"d","Erfelden","Groß Gerau","Hessen","j","j",NA,NA,NA,"detected","","",461908.511269893,5520453.42455706,"detected"
"941",1088,"151",8,1,"c","Büttelborn","Groß Gerau","Hessen","j",NA,NA,NA,NA,"detected","","",464969.933244156,5527859.8938053,"detected"
"942",1090,"151",8,21,"cl","Goddelau","Groß Gerau","Hessen","j","j","j","j",NA,"detected","","",463843.069570603,5520462.34079474,"detected"
"943",1091,"151",9,14,"cr","Gundernhausen","Dieburg","Hessen","j","j","j","j",NA,"detected","","",484751.851097228,5524398.58867004,"detected"
"944",1093,"151",9,22,"cl","Traisa","Darmstadt","Hessen","j","j","j","j",NA,"detected","","",478274.892554597,5520206.97908184,"detected"
"945",1095,"151",9,24,"b","Georgenhausen","Dieburg","Hessen","j",NA,NA,NA,NA,"detected","","",485641.685014713,5521249.67747095,"detected"
"946",1097,"151",10,4,"cu","Kleestadt","Dieburg","Hessen","j","j","j","j",NA,"detected","","",496631.993733775,5527746.87989637,"detected"
"947",1098,"151",10,8,"dl","Richen","Dieburg","Hessen","j","j","j","j",NA,"detected","","",494569.191065207,5525980.76326203,"detected"
"948",1101,"151",10,12,"co","Semd","Dieburg","Hessen","j","j","j","j",NA,"detected","","",491909.234209014,5524638.79673857,"detected"
"949",1103,"151",10,14,"do","Raibach","Dieburg","Hessen","j","j","j","j",NA,"detected","","",497183.169833305,5524344.38106028,"detected"
"950",1104,"151",10,17,"cu","Habitzheim","Dieburg","Hessen","j","j","j","j",NA,"detected","","",491344.432482047,5521937.94865256,"detected"
"951",1107,"151",11,11,"cu","Dorndiel","Dieburg","Hessen","j",NA,NA,NA,NA,"detected","","",501106.732958552,5523754.49317188,"detected"
"952",1113,"151",11,25,"au","Obernburg","BA. Obernburg","RegBez. Unterfranken (Bayern)","j",NA,NA,NA,NA,"detected","","",493360.248964466,5675662.33821378,"detected"
"953",1120,"151",13,25,"c","Gernsheim","Groß Gerau","Hessen","j","j","j","j",NA,"detected","","",462644.392350497,5511431.15730166,"detected"
"954",1122,"151",14,6,"au","Crumstadt","Groß Gerau","Hessen","j","j","j","j",NA,"detected","","",465061.073188364,5517541.25907795,"detected"
"955",1123,"151",14,7,"b","Eschollbrücken","Darmstadt","Hessen",NA,"j","j","j",NA,"detected","","",468811.32712543,5517807.36007741,"detected"
"956",1125,"151",14,12,"bu","Hahn","Darmstadt","Hessen","j","j","j","j",NA,"detected","","",468051.706575005,5515888.31885622,"detected"
"957",1126,"151",14,24,"c","Bickenbach","Bensheim","Hessen","j","j","j","j",NA,"detected","","",472080.50937189,5511374.19890197,"detected"
"958",1135,"151",15,17,"au","Neutsch","Dieburg","Hessen","j","j","j","j",NA,"detected","","",479401.040148177,5513787.34597772,"detected"
"959",1136,"151",15,19,"do","Lichtenberg","Dieburg","Hessen","j","j",NA,NA,NA,"detected","","",486052.781688572,5513388.065199,"detected"
"960",1137,"151",16,1,"al","Reinheim","Dieburg","Hessen","j","j","j","j",NA,"detected","","",488040.28845018,5519965.22959524,"detected"
"961",1138,"151",16,1,"co","Ueberau","Dieburg","Hessen","j","j","j","j",NA,"detected","","",488973.543041414,5519151.61430403,"detected"
"962",1139,"151",16,4,"co","Wiebelsbach","Dieburg","Hessen","j",NA,NA,NA,NA,"detected","","",495871.218388,5518941.7973863,"detected"
"963",1142,"151",16,13,"do","Hassenroth","Erbach","Hessen","j","j","j","j",NA,"detected","","",495314.231010826,5515339.9907396,"detected"
"964",1143,"151",16,16,"bu","Wersau","Dieburg","Hessen","j","j","j","j",NA,"detected","","",490194.052184701,5513945.98378393,"detected"
"965",1144,"151",16,18,"br","Hummetroth","Erbach","Hessen","j","j","j","j",NA,"detected","","",495521.999488234,5514172.41922353,"detected"
"966",1147,"151",17,1,"cu","Sandbach","Erbach","Hessen","j","j","j","j",NA,"detected","","",501287.658371939,5518473.41018796,"detected"
"967",1149,"151",17,2,"du","Rai-Breitenbach","Erbach","Hessen","j","j",NA,NA,NA,"detected","","",503762.589972311,5518007.60807537,"detected"
"969",1151,"151",17,12,"cu","Rimhorn","Erbach","Hessen","j","j","j","j",NA,"detected","","",502929.843150414,5514716.14174038,"detected"
"970",1152,"151",17,13,"c","Lützel-Wiebelsbach","Erbach","Hessen","j","j","j","j",NA,"detected","","",505542.615411519,5515040.61457072,"detected"
"971",1153,"151",17,21,"bu","Fürstengrund","Erbach","Hessen","j",NA,NA,NA,NA,"detected","","",502369.646395233,5511758.47392911,"detected"
"972",1154,"151",17,23,"bu","Haingrund","Erbach","Hessen","j","j","j","j",NA,"detected","","",507374.387183317,5512530.12715618,"detected"
"973",1160,"151",19,17,"cu","Nordheim","Bensheim","Hessen","j","j","j","j",NA,"detected","","",455859.564859464,5503588.11896052,"detected"
"974",1161,"151",19,18,"cl","Wattenheim","Bensheim","Hessen","j",NA,NA,NA,NA,"detected","","",457296.477890353,5503754.50324719,"detected"
"975",1162,"151",20,3,"cl","Hähnlein","Bensheim","Hessen","j","j","j","j",NA,"detected","","",469303.143929935,5509387.96413236,"detected"
"976",1164,"151",20,9,"cl","Zwingenberg","Bensheim","Hessen",NA,"j","j","j",NA,"detected","","",472084.913479547,5508038.71349993,"detected"
"977",1165,"151",20,10,"ao","Balkhausen","Bensheim","Hessen","j","j","j","j",NA,"detected","","",475504.737208495,5508778.18949864,"detected"
"978",1166,"151",20,13,"cl","Fehlheim","Bensheim","Hessen","j","j","j","j",NA,"detected","","",469015.473515729,5505709.46981419,"detected"
"979",1167,"151",20,14,"du","Auerbach","Bensheim","Hessen","j","j","j","j",NA,"detected","","",472691.649808392,5505433.97218487,"detected"
"980",1168,"151",20,15,"ao","Hochstädten","Bensheim","Hessen","j","j","j","j",NA,"detected","","",474911.884310523,5506812.9970985,"detected"
"982",1170,"151",21,3,"b","Lützelbach","Dieburg","Hessen","j","j","j","j",NA,"detected","","",483190.773494498,5509971.8411827,"detected"
"983",1171,"151",21,4,"b","Steinau","Dieburg","Hessen","j","j","j","j",NA,"detected","","",551954.705192337,5604701.35528724,"detected"
"984",1173,"151",21,13,"do","Kolmbach","Bensheim","Hessen","j","j","j","j",NA,"detected","","",482443.392837282,5506127.37788915,"detected"
"985",1174,"151",21,15,"c","Klein-Gumpen","Erbach","Hessen","j","j","j","j",NA,"detected","","",487236.878893745,5505591.41725153,"detected"
"986",1176,"151",21,17,"dl","Schannenbach","Bensheim","Hessen",NA,"j","j","j",NA,"detected","","",479876.541585514,5504179.53749995,"detected"
"987",1178,"151",21,19,"c","Lindenfels","Bensheim","Hessen","j","j","j","j",NA,"detected","","",484007.943974921,5503665.46411588,"detected"
"988",1179,"151",21,23,"du","Ellenbach","Heppenheim","Hessen","j","j","j","j",NA,"detected","","",483272.60378717,5501466.33493275,"detected"
"989",1184,"151",22,14,"au","Rehbach","Erbach","Hessen","j",NA,NA,NA,NA,"detected","","",496510.300082107,5506088.92840778,"detected"
"990",1185,"151",22,16,"b","Unter-Ostern","Erbach","Hessen","j","j",NA,"j",NA,"detected","","",489939.236157212,5504674.05558946,"detected"
"991",1186,"151",22,19,"cu","Steinbuch","Erbach","Hessen","j","j","j","j",NA,"detected","","",496450.813505828,5503331.7345515,"detected"
"992",1187,"151",22,22,"co","Erzbach","Erbach","Hessen","j","j",NA,NA,NA,"detected","","",490375.280785633,5502483.04128285,"detected"
"993",1190,"151",23,6,"au","Momart","Erbach","Hessen","j","j",NA,"j",NA,"detected","","",500951.363149464,5508211.40882434,"detected"
"994",1192,"151",23,13,"b","Vielbrunn","Erbach","Hessen","j","j","j","j",NA,"detected","","",507079.498116418,5506737.27013939,"detected"
"995",1193,"151",24,1,"a","Laudenbach","BA. Miltenberg","RegBez. Unterfranken (Bayern)",NA,NA,NA,"j",NA,"detected","","",556908.629371668,5675984.78859843,"detected"
"997",1198,"151",25,9,"au","Bürstadt","Bensheim","Hessen","j","j","j","j",NA,"detected","","",460377.759746243,5498950.22558628,"detected"
"998",1200,"151",26,2,"du","Lorsch","Bensheim","Hessen","j","j","j",NA,NA,"detected","","",468773.338845324,5499973.89354344,"detected"
"999",1202,"151",26,18,"cu","Hüttenfeld","Bensheim","Hessen","j","j","j","j",NA,"detected","","",470105.132834984,5494062.7224284,"detected"
"1000",1205,"151",27,6,"d","Sonderbach","Heppenheim","Hessen","j","j","j","j",NA,"detected","","",477508.962547627,5498529.79701962,"detected"
"1001",1206,"151",27,8,"al","Mitlechtern","Heppenheim","Hessen",NA,"j","j","j",NA,"detected","","",480890.260090575,5499150.56178326,"detected"
"1002",1207,"151",27,8,"dr","Fahrenbach","Heppenheim","Hessen","j","j","j","j",NA,"detected","","",483263.074070152,5498375.59466453,"detected"
"1003",1208,"151",27,10,"dl","Hammelbach","Heppenheim","Hessen","j",NA,NA,NA,NA,"detected","","",487927.089924707,5498196.45324543,"detected"
"1004",1215,"151",27,25,"co","Gadern","Heppenheim","Hessen","j","j",NA,"j",NA,"detected","","",486584.859819875,5492674.07386371,"detected"
"1005",1218,"151",28,16,"cu","Kocherbach","Heppenheim","Hessen","j","j",NA,"j",NA,"detected","","",487881.914483227,5494127.45079174,"detected"
"1006",1220,"151",28,21,"b","Affolterbach","Heppenheim","Hessen","j",NA,NA,NA,NA,"detected","","",489492.850324129,5493879.50894991,"detected"
"1007",1221,"151",28,21,"cl","Hartenrod","Heppenheim","Hessen","j","j","j","j",NA,"detected","","",462066.610560002,5623007.53591877,"detected"
"1008",1222,"151",29,1,"au","Dorf-Erbach","Erbach","Hessen","j","j","j","j",NA,"detected","","",500995.960819869,5500840.27164786,"detected"
"1009",1223,"151",29,2,"bl","Ernsbach","Erbach","Hessen","j",NA,NA,NA,NA,"detected","","",503875.300650646,5501241.80551204,"detected"
"1010",1224,"151",29,3,"cl","Würzberg","Erbach","Hessen","j","j","j",NA,NA,"detected","","",505817.775000507,5500109.52444825,"detected"
"1013",1242,"151",33,2,"b","Reisen","Heppenheim","Hessen","j","j","j","j",NA,"detected","","",479599.215152264,5491784.13061318,"detected"
"1015",1246,"151",33,7,"a","Birkenau","Heppenheim","Hessen","j","j","j","j",NA,"detected","","",479013.593643021,5489896.33706064,"detected"
"1016",1254,"151",34,4,"du","Beerfelden","Erbach","Hessen","j","j","j","j",NA,"detected","","",498098.336240003,5490645.56940403,"detected"
"1017",1256,"151",34,19,"b","Gammelsbach","Erbach","Hessen","j","j",NA,NA,NA,"detected","","",497495.964018021,5485798.54630474,"detected"
"1018",1258,"151",35,21,"a","Hebstahl","Erbach","Hessen","j","j","j",NA,NA,"detected","","",500767.306071186,5484563.97934713,"detected"
"2",18,"111",5,10,"cr","Calenberg","Warburg","Westfalen","j","j","j",NA,NA,"not detected","Kalenberg","",511510.193304266,5701683.18644444,"detected"
"3",31,"111",10,8,"ao","Canstein","Brilon","Westfalen","j","j","j","j",NA,"not detected","Kanstein","",494288.60217682,5694177.67318404,"detected"
"11",105,"112",2,25,"c","Hann. Münden",NA,"Hannover","j","j","j","j",NA,"not detected","Hannoversch Münden","",545181.477629446,5696131.86091904,"detected"
"13",121,"112",4,23,"c","Friedland","Göttingen","Hannover","j","j","j","j",NA,"not detected","Friedland an der Leine","",563327.563800049,5697214.82270355,"detected"
"213",1210,"151",27,16,"a","Ober-Laudenbach","Heppenheim","Hessen","j","j","j","j",NA,"not detected","Ober Laudenbach","",476168.249081236,5495756.03639828,"detected"
"1019",2,"98",36,10,"a","Muddenhagen","Warburg","Westfalen","j","j","j","j",NA,"detected","","",522619.943894953,5712074.60048547,"detected"
"1020",10,"111",4,2,"br","Westheim","Büren","Westfalen","j","j","j",NA,NA,"detected","","",493502.100849408,5704754.91908659,"detected"
"1021",14,"111",5,3,"du","Germete","Warburg","Westfalen","j","j",NA,NA,NA,"detected","","",506992.187062605,5703743.53398536,"detected"
"1022",19,"111",5,14,"cl","Welda","Warburg","Westfalen","j","j","j","j",NA,"detected","","",507747.477541944,5700208.05698829,"detected"
"1023",23,"111",6,6,"dr","Herlinghausen","Warburg","Westfalen","j","j","j","j",NA,"detected","","",514384.96480398,5702057.50643262,"detected"
"1024",45,"111",21,2,"ao","Oberschledorn","Brilon","Westfalen","j","j","j","j",NA,"detected","","",480129.203312578,5677386.9095296,"detected"
"1025",145,"112",8,12,"b","Speele","Münden","Hannover","j","j","j","j",NA,"detected","","",539162.9459576,5691967.04655685,"detected"
"1026",149,"112",9,8,"d","Hedemünden","Münden","Hannover","j","j","j","j",NA,"detected","","",553403.239216828,5693364.10249514,"detected"
"1027",151,"112",10,1,"au","Mollenfelde","Göttingen","Hannover","j","j","j","j",NA,"detected","","",558666.601464888,5695568.52654998,"detected"
"1028",176,"112",15,1,"a","Escherode","Münden","Hannover","j","j","j","j",NA,"detected","","",546259.36629427,5686154.12318113,"detected"
"1029",210,"112",23,8,"a","Kella","Heiligenstadt","Pr. Sachsen","j","j","j","j",NA,"detected","","",575443.955653626,5675812.34401211,"detected"
"1030",212,"112",23,15,"ar","Bebendorf","Heiligenstadt","Pr. Sachsen","j",NA,NA,NA,NA,"detected","","",580741.697413583,5674224.52116429,"detected"
"1031",259,"112",35,23,"dr","Sallmannshausen","Eisenach","Thüringen","j",NA,NA,NA,NA,"detected","","",577485.129502302,5650549.79983134,"detected"
"1032",319,"125",1,14,"c","Puderbach","Wittgenstein","Westfalen","j","j","j","j",NA,"detected","","",461027.787112392,5644355.65541475,"detected"
"1033",527,"126",5,5,"a","Lauchröden","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",581259.586690188,5649740.15455598,"detected"
"1034",531,"126",5,21,"ar","Dankmarshausen","Eisenach","Thüringen",NA,NA,NA,"j",NA,"detected","","",571308.334578075,5641952.58439462,"detected"
"1035",533,"126",6,1,"b","Göringen","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",583601.320590868,5649910.93763739,"detected"
"1036",575,"126",17,1,"b","Vacha","Eisenach","Thüringen",NA,NA,NA,"j",NA,"detected","","",571938.810838052,5630928.3545625,"detected"
"1037",661,"126",35,17,"a","Birx","Meiningen","Thüringen","j","j","j","j",NA,"detected","","",574221.790839775,5598007.01660555,"detected"
"1038",680,"138",4,24,"br","Niedererbach","Unterwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",427307.833495527,5586575.34851837,"detected"
"1039",705,"138",11,11,"d","Freiendiez","Unterlahnkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",432237.132799398,5580404.47551198,"detected"
"1040",728,"138",17,8,"dr","Kaltenholzhausen","Unterlahnkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",436109.975061237,5572460.74578386,"detected"
"1041",781,"138",34,21,"ar","Trechtingshausen","St. Goar","Rheinprovinz","j",NA,"j","j",NA,"detected","","",417516.135016208,5540455.29431702,"detected"
"1042",790,"138",36,17,"du","Mombach","Mainz","Hessen","j","j","j","j",NA,"detected","","",445235.354087353,5542012.80305307,"detected"
"1043",978,"139",29,14,"cu","Albstadt","BA. Alzenau","RegBez. Unterfranken (Bayern)","j","j","j","j",NA,"detected","","",508164.363574227,5551734.62264913,"detected"
"1044",982,"139",30,11,"dr","Geiselbach","BA. Alzenau","RegBez. Unterfranken (Bayern)","j","j","j","j",NA,"detected","","",514189.788758649,5552247.58316396,"detected"
"1045",1106,"151",11,7,"au","Wenigumstadt","Dieburg","Hessen",NA,NA,NA,"j",NA,"detected","","",503454.566800397,5527146.54835937,"detected"
"1046",1159,"151",19,11,"du","Rheindürkheim","Worms","Hessen","j","j","j","j",NA,"detected","","",453694.923595163,5505229.48825919,"detected"
"178",1075,"151",5,7,"b","Stockstadt am Main","BA. Aschaffenburg","RegBez. Unterfranken (Bayern)",NA,NA,NA,"j",NA,"not detected","Stockstadt","",504595.802925033,5536364.51022929,"detected"
"232",1253,"151",33,22,"c","Rittenweier","AB. Weinheim","Baden","j","j","j","j",NA,"not detected","Rittenweiher","",478593.805385312,5484283.52765296,"detected"
"1047",66,"111",27,1,"du","Dreislar","Brilon","Westfalen","j","j","j","j",NA,"detected","","",478191.479902248,5666485.15953812,"detected"
"1048",116,"112",4,6,"dl","Volkerode","Göttingen","Hannover","j","j","j","j",NA,"detected","","",575109.947986188,5679066.42579233,"detected"
"1049",148,"112",8,18,"dl","Landwehrhagen","Münden","Hannover","j","j","j","j",NA,"detected","","",541252.274443336,5689225.33147046,"detected"
"1050",156,"112",10,14,"co","Hohengandern","Heiligenstadt","Pr. Sachsen","j","j","j","j",NA,"detected","","",565767.280334525,5691906.85407871,"detected"
"1051",190,"112",17,23,"du","Pfaffschwende","Heiligenstadt","Pr. Sachsen","j",NA,"j","j",NA,"detected","","",576556.318827021,5678020.02760775,"detected"
"1052",216,"112",24,12,"cu","Hildebrandshausen","Mühlhausen","Pr. Sachsen","j","j","j","j",NA,"detected","","",584751.973630942,5672943.25031849,"detected"
"1053",236,"112",30,7,"dr","Treffurt","Mühlhausen","Pr. Sachsen","j","j","j",NA,NA,"detected","","",586271.153136977,5665693.9196271,"detected"
"1054",238,"112",30,17,"cr","Schnellmannshausen","Mühlhausen","Pr. Sachsen","j","j","j","j",NA,"detected","","",585379.947702382,5662041.79620993,"detected"
"1055",260,"112",36,6,"ao","Ifta","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",582300.534399637,5657976.3371339,"detected"
"1056",409,"125",22,10,"bl","Homberg","Alsfeld","Hessen","j","j","j","j",NA,"detected","","",436750.539965283,5610274.60179601,"detected"
"1057",528,"126",5,8,"c","Gerstungen","Eisenach","Thüringen","j","j",NA,"j",NA,"detected","","",574866.081020911,5646273.64228993,"detected"
"1058",532,"126",5,22,"c","Dippach","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",573269.518809183,5641457.18140095,"detected"
"1059",534,"126",6,2,"a","Neuenhof","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",585160.534730646,5650281.17790805,"detected"
"1060",572,"126",16,5,"cl","Unterbreizbach","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",568951.592528866,5629898.09704967,"detected"
"1061",624,"126",28,8,"b","Ketten","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",565710.199121766,5610860.94362051,"detected"
"1062",631,"126",29,17,"b","Unterweid","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",575092.252834615,5607027.75378573,"detected"
"1063",678,"138",4,15,"co","Hundsangen","Unterwesterwaldkreis","Hessen-Nassau","j","j","j",NA,NA,"detected","","",427750.064511904,5589816.62780908,"detected"
"1065",777,"138",33,19,"ao","Oberdiebach","St. Goar","Rheinprovinz","j","j","j","j",NA,"detected","","",412296.108483283,5542918.10848256,"detected"
"1067",983,"139",30,13,"al","Huckelheim","BA. Alzenau","RegBez. Unterfranken (Bayern)","j","j","j","j",NA,"detected","","",517275.997552437,5552857.09583036,"detected"
"1068",1007,"139",35,22,"du","Kleinostheim","BA. Aschaffenburg","RegBez. Unterfranken (Bayern)",NA,NA,"j","j",NA,"detected","","",504572.169557068,5538855.02202879,"detected"
"1069",1035,"140",9,13,"d","Kothen","BA. Brückenau","RegBez. Unterfranken (Bayern)","j","j","j","j",NA,"detected","","",554500.59622636,5580251.2069324,"detected"
"1070",1047,"140",15,21,"a","Zeitlofs","BA. Brückenau","BegBez. Unterfranken (Bayern)","j","j","j","j",NA,"detected","","",547963.69783004,5567789.28089615,"detected"
"1071",1052,"140",25,16,"br","Wiesen","BA. Lohr","RegBez. Unterfranken (Bayern)","j",NA,NA,NA,NA,"detected","","",526083.602874025,5551091.61619635,"detected"
"1072",1082,"151",7,11,"au","Nierstein","Oppenheim","Hessen","j",NA,NA,NA,NA,"detected","","",452143.871050927,5523866.93274463,"detected"
"1073",1084,"151",7,16,"d","Oppenheim","Oppenheim","Hessen","j","j","j","j",NA,"detected","","",453790.251832422,5522251.43548138,"detected"
"1074",1110,"151",11,18,"ac","Mömlingen","BA. Obernburg","RegBez. Unterfranken (Bayern)",NA,NA,NA,"j",NA,"detected","","",506102.487221655,5522801.67129956,"detected"
"1075",1245,"151",33,6,"c","Weinheim","AB. Weinheim","Baden","j","j","j",NA,NA,"detected","","",476182.889478667,5489196.44680405,"detected"
"1076",1259,"151",35,24,"dl","Reisenbach","AB. Buchen","Baden",NA,"j","j","j",NA,"detected","","",508985.157168986,5483426.22160176,"detected"
"225",1241,"151",32,21,"a","Käfertal","AB. Mannheim","Baden","j","j","j","j",NA,"not detected","Mannheim-Käfertal","Mannheim",465043.4218316,5484553.67065881,"detected"
"238",1270,"138",33,3,"al","Langscheid",NA,"Rheinprovinz",NA,NA,NA,NA,NA,"not detected","Langscheid","Oberwesel",409883.463847974,5548107.31817988,"detected"
"1077",3,"98",36,14,"cl","Körbecke","Warburg","Westfalen","j","j",NA,NA,NA,"detected","","",519434.744146134,5709303.24690738,"detected"
"1078",5,"98",36,18,"co","Rösebeck","Warburg","Westfalen","j","j","j","j",NA,"detected","","",517115.4904166,5708015.9245872,"detected"
"1079",17,"111",5,9,"do","Wormeln","Warburg","Westfalen","j","j","j","j",NA,"detected","","",509306.983418047,5702334.83622359,"detected"
"1080",27,"111",9,3,"au","Beringhausen","Brilon","Westfalen","j","j","j","j",NA,"detected","","",483251.572638709,5695158.40234525,"detected"
"1081",106,"112",3,1,"c","Bühren","Münden","Hannover","j","j","j","j",NA,"detected","","",547181.294709775,5703968.75927536,"detected"
"1082",146,"112",8,14,"co","Lutterberg","Münden","Hannover","j","j","j","j",NA,"detected","","",543134.61957864,5691454.10163004,"detected"
"1083",157,"112",10,25,"c","Gerbershausen","Heiligenstadt","Pr. Sachsen","j","j","j","j",NA,"detected","","",568530.836747047,5687761.07580478,"detected"
"1084",233,"112",30,3,"a","Wendehausen","Mühlhausen","Pr. Sachsen","j",NA,NA,NA,NA,"detected","","",587349.928590467,5668515.18668025,"detected"
"1085",285,"124",29,3,"c","Nister-Möhrendorf","Oberwesterwaldkreis","Hessen-Nassau","j","j",NA,NA,NA,"detected","","",434680.46393992,5612134.99089327,"detected"
"1086",287,"124",29,8,"a","Waigandshain","Oberwesterwaldkreis","Hessen-Nassau",NA,NA,NA,"j",NA,"detected","","",435130.035955641,5610761.50216421,"detected"
"1087",307,"124",35,3,"d","Mittelhofen","Oberwesterwaldkreis","Hessen-Nassau","j","j","j",NA,NA,"detected","","",436622.96209245,5602636.02755376,"detected"
"1088",597,"126",22,15,"cu","Kranlucken","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",570065.810675307,5616689.40622134,"detected"
"1089",632,"126",29,19,"ac","Kaltenwestheim","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",579019.39498841,5607063.20675321,"detected"
"1090",698,"138",10,3,"d","Eppenrod","Unterlahnkreis","Hessen-Nassau",NA,NA,"j","j",NA,"detected","","",424004.049722322,5584086.2410219,"detected"
"1091",726,"138",17,2,"cr","Lohrheim","Unterlahnkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",432310.032711056,5574420.62939464,"detected"
"1092",755,"138",27,14,"d","Weisel","St. Goarshausen","Hessen-Nassau","j","j",NA,"j",NA,"detected","","",414238.639962931,5552361.75986265,"detected"
"1093",773,"138",33,8,"c","Steeg","St. Goar","Rheinprovinz","j","j","j","j",NA,"detected","","",410071.152414751,5545223.75023875,"detected"
"1094",776,"138",33,18,"bo","Manubach","St. Goar","Rheinprovinz","j","j","j","j",NA,"detected","","",411206.06288714,5542847.10882179,"detected"
"1095",778,"138",33,19,"co","Oberheimbach","St. Goar","Rheinprovinz","j",NA,NA,NA,NA,"detected","","",412728.266846571,5541743.33807009,"detected"
"1096",990,"139",31,21,"ab","Hochheim","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",451879.993419915,5499819.43691929,"detected"
"1097",1086,"151",7,21,"dl","Dienheim","Oppenheim","Hessen","j","j","j","j",NA,"detected","","",453298.489274002,5521088.19329322,"detected"
"1098",1118,"151",13,17,"ao","Gimbsheim","Worms","Hessen","j",NA,NA,NA,NA,"detected","","",455067.658824787,5514201.76755268,"detected"
"1101",1203,"151",26,25,"a","Hemsbach","AB. Weinheim","Baden",NA,NA,NA,"j",NA,"detected","","",474495.327045588,5493328.81029511,"detected"
"1102",1257,"151",35,15,"c","Schlossau","AB. Buchen","Baden","j","j","j",NA,NA,"detected","","",511018.838728625,5487421.15908986,"detected"
"43",273,"124",27,1,"du","Berod bei Wallmerod","Oberwesterwaldkreis","Hessen-Nassau",NA,NA,NA,"j",NA,"not detected","Berod","",424556.930433697,5592919.69141507,"detected"
"200",1157,"151",18,16,"ar","Klingenberg am Main","BA. Obernburg","RegBez. Unterfranken (Bayern)","j","j","j","j",NA,"not detected","Klingenberg","",513109.730423434,5514308.7693523,"detected"
"1103",11,"111",4,11,"cr","Obermarsberg","Brilon","Westfalen","j","j","j","j",NA,"detected","","",489791.515172117,5699578.48489074,"detected"
"1104",15,"111",5,4,"dr","Warburg","Warburg","Westfalen","j","j","j",NA,NA,"detected","","",509900.572157996,5704248.82577614,"detected"
"1105",48,"111",21,17,"ao","Medebach","Brilon","Westfalen","j","j","j",NA,NA,"detected","","",479367.342897236,5671907.28908675,"detected"
"1106",49,"111",21,21,"cl","Medelon","Brilon","Westfalen","j","j","j",NA,NA,"detected","","",476886.58277568,5668726.14979938,"detected"
"1107",153,"112",10,4,"bd","Reiffenhausen","Göttingen","Hannover","j","j","j","j",NA,"detected","","",567361.97105186,5695553.65596452,"detected"
"1108",192,"112",17,24,"c","Sickerode","Heiligenstadt","Pr. Sachsen","j","j","j","j",NA,"detected","","",578238.652768358,5678479.22084318,"detected"
"1109",218,"112",24,24,"au","Diedorf","Mühlhausen","Pr. Sachsen","j",NA,NA,NA,NA,"detected","","",589607.503512563,5670211.42709065,"detected"
"1110",261,"112",36,8,"c","Creuzburg","Eisenach","Thüringen",NA,NA,NA,"j",NA,"detected","","",587309.587659526,5656434.68423746,"detected"
"1111",265,"124",23,8,"d","Lützeln","Siegen","Westfalen","j","j",NA,NA,NA,"detected","","",436887.432829779,5619269.93738463,"detected"
"1112",320,"125",1,21,"bd","Herbertshausen","Wittgenstein","Westfalen",NA,NA,NA,"j",NA,"detected","","",455024.000686822,5641412.74645598,"detected"
"1113",340,"125",7,1,"bl","Banfe","Wittgenstein","Westfalen","j","j","j",NA,NA,"detected","","",454496.086999746,5640527.67589594,"detected"
"1114",576,"126",17,11,"al","Sünna","Eisenach","Thüringen","j","j","j","j",NA,"detected","","",570359.781545833,5627358.94627109,"detected"
"1115",633,"126",29,19,"do","Mittelsdorf","Eisenach","Thüringen","j",NA,NA,NA,NA,"detected","","",580064.052840895,5606778.76115657,"detected"
"1116",677,"138",4,13,"b","Steinefrenz","Unterwesterwaldkreis","Hessen-Nassau","j","j","j","j",NA,"detected","","",424070.432966756,5590179.71797924,"detected"
"1117",740,"138",22,21,"cu","Lautert","St. Goarshausen","Hessen-Nassau","j","j","j",NA,NA,"detected","","",417027.67377661,5557889.30306638,"detected"
"1118",979,"139",29,22,"du","Alzenau","BA. Alzenau","RegBez. Unterfranken (Bayern)","j","j","j",NA,NA,"detected","","",505265.248444918,5548228.5969274,"detected"
"1119",1008,"139",36,2,"al","Krombach","BA. Alzenau","BegBez. Unterfranken (Bayern)","j","j","j","j",NA,"detected","","",514755.726924603,5549224.82088195,"detected"
