"","X","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res"
"215",1212,"151",27,20,"a","Ober-Scharbach","Heppenheim","Hessen","j","j",NA,NA,NA,"not detected","Ober Scharbach","",487365.361190283,5495729.58280584,"detected"
"216",1213,"151",27,22,"cu","Nieder-Liebersbach","Heppenheim","Hessen","j","j",NA,NA,NA,"not detected","Nieder Liebersbach","",478502.927411957,5492433.18411174,"detected"
"218",1216,"151",28,8,"b","Unter-Mossau","Erbach","Hessen","j","j","j","j",NA,"not detected","Unter Mossau","",494904.534429824,5500642.45261015,"detected"
"219",1217,"151",28,11,"b","Grasellenbach","Heppenheim","Hessen","j","j","j","j",NA,"not detected","Gras-Ellenbach","",489766.550860428,5497236.54556794,"detected"
"220",1219,"151",28,18,"ao","Güttersbach","Erbach","Hessen","j","j","j","j",NA,"not detected","Hüttersbach","",493722.539434318,5495829.69736619,"detected"
"224",1240,"151",32,13,"cu","Viernheim","Heppenheim","Hessen","j","j","j","j",NA,"not detected","Biernheim","",469402.844968959,5487395.87241487,"detected"
"226",1244,"151",33,5,"cr","Wald-Michelbach","Heppenheim","Hessen",NA,"j","j","j",NA,"not detected","Waldmichelbach","",487260.776141655,5491171.55938683,"detected"
"233",1255,"151",34,16,"do","Unter-Schönmattenwag","Heppenheim","Hessen","j",NA,NA,NA,NA,"not detected","Unter Schönmattenwag","",490216.202882019,5486229.21922122,"detected"
"347",6,"98",36,20,"a","Lamerden","Hofgeismar","Hessen-Nassau",NA,"j",NA,NA,NA,"detected","","",522684.225833655,5708549.3412798,"detected"
"348",7,"99",31,8,"ao","Stammen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,"detected","","",528911.871250049,5712551.440084,"detected"
"349",8,"99",31,11,"d","Eberschütz","Hofgeismar","Hessen-Nassau",NA,NA,NA,"j",NA,"detected","","",524987.255189732,5709983.72135244,"detected"
"350",9,"99",31,18,"c","Schöneberg","Hofgeismar","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",529050.779189587,5707658.68197216,"detected"
"351",13,"111",4,18,"dr","Kohlgrund","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",496107.385272166,5698235.19149249,"detected"
"352",20,"111",5,17,"a","Ammenhausen","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",503481.724360357,5699369.25886381,"detected"
"353",21,"111",5,22,"ab","Herbsen","der Twiste","Hessen-Nassau","j","j","j","j",NA,"detected","","",503865.316619124,5697567.89815438,"detected"
"354",22,"111",6,3,"cu","Haueda","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,"detected","","",517315.654461445,5704246.43164932,"detected"
"355",24,"111",6,14,"bu","Niedermeiser","Hofgeismar","Hessen-Nassau",NA,"j","j","j",NA,"detected","","",521335.657889145,5700936.40187686,"detected"
"356",25,"111",6,17,"b","Oberlistingen","Wolfhagen","Hessen-Nassau","j","j","j",NA,NA,"detected","","",516394.944521487,5699094.18814398,"detected"
"357",26,"111",6,20,"cu","Westuffeln","Hofgeismar","Hessen-Nassau",NA,"j",NA,NA,NA,"detected","","",522682.148333144,5698117.38643671,"detected"
"358",28,"111",9,18,"bu","Rhenegge","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",484048.458925067,5689750.94416289,"detected"
"359",29,"111",9,19,"b","Adorf","des Eisenbergs","Hessen-Nassau","j","j","j","j",NA,"detected","","",486381.464718692,5689933.24984368,"detected"
