,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname_cor,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt oder Gemeinde oder Landkreis
519,126,2,1,br,Nenterode ,Rotenburg,Hessen-Nassau,j,NA,NA,NA,NA,not detected,Nenterode,Knüllwald
525,126,4,4,d,Süß ,Rotenburg,Hessen-Nassau,NA,NA,j,j,NA,not detected,Süß,Nentershausen
530,126,5,17,do,Berka,Eisenach,Thüringen,NA,NA,NA,j,NA,not detected,Berka,Werra-Suhl-Tal
544,126,8,18,co,Goßmannsrode ,Hersfeld,Hessen-Nassau,j,j,j,j,NA,not detected,Goßmannsrode,Kirchheim
545,126,9,11,b,Kalkobes,Hersfeld,Hessen-Nassau,NA,j,j,j,NA,not detected,Hersfeld-Kalkobes,
547,126,10,8,cr,Herfa,Hersfeld,Hessen-Nassau,NA,NA,j,NA,NA,not detected,Hersa,
552,126,11,21,au,Philippsthal ,Hersfeld,Hessen-Nassau,j,j,j,j,NA,not detected,Philippsthal,Werra
558,126,12,13,ar,Kupfersuhl ,Eisenach,Thüringen,j,j,j,j,NA,not detected,Kupfersuhl,Bad Salzungen
565,126,13,25,cu,Wallersdorf,Alsfeld,Hessen,NA,j,j,NA,NA,not detected,Wallersdorf,Grebenau
578,126,18,1,c,Kaiseroda ,Eisenach,Thüringen,j,j,j,j,NA,not detected,Kaiseroda,Leimbach
582,126,18,12,d,Kaltenborn,Meiningen,Thüringen,j,j,j,j,NA,not detected,Kaltenborn,Bad Salzungen
584,126,18,25,ar,Breitungen/Werra,Meiningen,Thüringen,NA,j,j,j,NA,not detected,Breitungen,Schmalkalden-Meiningen
587,126,20,3,a,Ober-Wegfurth,Lauterbach,Hessen,j,NA,NA,NA,NA,not detected,Ober Wegfurth,
596,126,22,1,bu,Großentaft ,Hünfeld,Hessen-Nassau,j,j,j,j,NA,not detected,Großentaft,Eiterfeld
599,126,23,1,do,Otzbach ,Eisenach,Thüringen,j,j,j,j,NA,not detected,Otzbach,Geisa
600,126,23,2,b,Oechsen,Eisenach,Thüringen,j,j,j,j,NA,not detected,Dechsen,
601,126,23,11,cd,Zitters ,Eisenach,Thüringen,j,j,j,j,NA,not detected,Zitters,Schleid
